date_of_sale,address,county,price,vat_exclusive,property_description,property_size,accuracy,eircode,latitude,longitude,geocoding_url,formatted_address,place_id,electoral_district,region,electoral_district_id,bus_distance
13/01/2010,"Bocks Upper, Carrickmacross",Monaghan,225000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.02945079999999,-6.7880975999999995,"https://maps.googleapis.com/maps/api/geocode/json?address=Bocks+Upper,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Bocks Upper, Co. Monaghan, Ireland",ChIJadvMD9KvYEgRXUSoKSyE6tY,Bocks,Border,34006,3.527261499739902
13/01/2010,"Corhollan, Smithboro",Monaghan,215000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.22731899999999,-7.1049691999999975,"https://maps.googleapis.com/maps/api/geocode/json?address=Corhollan,+Smithboro,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Corhollan, Co. Monaghan, Ireland",ChIJt9tjViggXkgRXSkzfpX23NA,Clones,Border,34052,0.7931842627693634
15/01/2010,"Derrynagrew, Monaghan",Monaghan,325000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.2670605,-6.9664050999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=Derrynagrew,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Derrynagrew, Co. Monaghan, Ireland",ChIJK0gtVyWfYEgRlN90xcwGuxg,Bellanode,Border,34048,0.6395537579481203
19/01/2010,"Feebane, Monaghan",Monaghan,50000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.246832999999995,-6.916823599999999,"https://maps.googleapis.com/maps/api/geocode/json?address=Feebane,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Feebane, Co. Monaghan, Ireland",ChIJbzG4rKKYYEgRQhR3uOv_ENo,Rackwallace,Border,34064,2.0426706816776092
26/01/2010,"Dunaree, Laragh, Castleblayney",Monaghan,60000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.0398647,-6.7775215,"https://maps.googleapis.com/maps/api/geocode/json?address=Dunaree,+Laragh,+Castleblayney,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Dunaree, Loughmourne, Co. Monaghan, Ireland",ChIJS6nE6divYEgRGMvX4uUZoms,Bocks,Border,34006,3.737989096127009
27/01/2010,"Rahans, Magheracloone, Carrickmacross",Monaghan,250000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,53.99572610000001,-6.6752318,"https://maps.googleapis.com/maps/api/geocode/json?address=Rahans,+Magheracloone,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Rahans, Culloville, Co. Monaghan, Ireland",ChIJueQ_lVyxYEgR9YW-hbwTbNo,Donaghmoyne,Border,34010,2.677002426680556
28/01/2010,"Greaghdrummit, Carrickmacross",Monaghan,210726.87,Yes,New Dwelling house /Apartment,greater than 125 sq metres,APPROXIMATE,,53.97797779999999,-6.7188238,"https://maps.googleapis.com/maps/api/geocode/json?address=Greaghdrummit,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Drummond Etra, Carrickmacross, Co. Monaghan, Ireland",ChIJA5cNXTCyYEgRQOkxl6nHAAo,Carrickmacross Urban,Border,34001,0.26429830836558377
29/01/2010,"17 Ascaill Rois, Carrickmacross, Monaghan",Monaghan,185000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,A81 NW93,53.967319999999994,-6.7191224,"https://maps.googleapis.com/maps/api/geocode/json?address=17+Ascaill+Rois,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","17 Ascáill Róis, Magheross, Carrickmacross, Co. Monaghan, A81 NW93, Ireland",ChIJKUKthDmyYEgRfFPalC_n2YI,Carrickmacross Rural,Border,34007,0.9213788797032256
29/01/2010,"41 Choill Darach, Bree, Castleblayney",Monaghan,160792.94,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ROOFTOP,A75 DD79,54.1133797,-6.7468062999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=41+Choill+Darach,+Bree,+Castleblayney,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","41 Coill Darach, Bree, Castleblayney, Co. Monaghan, A75 DD79, Ireland",ChIJt5RO7f26YEgRKs2yO2M6tQg,Castleblayney Rural,Border,34027,0.907968033455542
29/01/2010,"No 16, Ascaill Rois, Carraickmacross",Monaghan,189000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,A81 N840,53.9673294,-6.7192124999999985,"https://maps.googleapis.com/maps/api/geocode/json?address=No+16,+Ascaill+Rois,+Carraickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","16 Ascáill Róis, Magheross, Carrickmacross, Co. Monaghan, A81 N840, Ireland",ChIJ8dxTgzmyYEgRGdASPHsYwwc,Carrickmacross Rural,Border,34007,0.9204202010631348
01/02/2010,"Donagh, Glaslough",Monaghan,330000.0,No,Second-Hand Dwelling house /Apartment,,APPROXIMATE,,54.312766,-6.9166747000000015,"https://maps.googleapis.com/maps/api/geocode/json?address=Donagh,+Glaslough,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Donagh, Co. Monaghan, Ireland",ChIJMeqYUWWZYEgRUspTu6fHACY,Glaslough,Border,34060,3.0939767932254987
04/02/2010,"Stranooden, Monaghan",Monaghan,255000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,APPROXIMATE,,54.17971,-7.002899999999999,"https://maps.googleapis.com/maps/api/geocode/json?address=Stranooden,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Stranoodan, Stranooden, Co. Monaghan, Ireland",ChIJ9wrLEP2gYEgRAJrfN6nHABg,Caddagh,Border,34050,1.4499140021075063
11/02/2010,"Site 29, Knockcarrick, Annyalla",Monaghan,170000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ROOFTOP,A75 XY07,54.1591876,-6.7811828,"https://maps.googleapis.com/maps/api/geocode/json?address=Site+29,+Knockcarrick,+Annyalla,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","29 Knockcarrick, Mullaghduff, Annyalla, Co. Monaghan, A75 XY07, Ireland",ChIJ22JErqG8YEgRv9aiQxndsiU,Carrickaslane,Border,34025,0.698562796201999
12/02/2010,"101 Cluain Alainn, Carrickmacross",Monaghan,114537.45,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ROOFTOP,A81 RC59,53.9762882,-6.7098933,"https://maps.googleapis.com/maps/api/geocode/json?address=101+Cluain+Alainn,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","101 Donaghmoyne Rd, Cluain Alainn, Lisanisk, Carrickmacross, Co. Monaghan, A81 RC59, Ireland",ChIJmbFgzi2yYEgRm0YKpcp-hz0,Carrickmacross Urban,Border,34001,0.5980106454038813
12/02/2010,"20 Ascaill Rois, Carrickmacross",Monaghan,171806.17,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,A81 WK63,53.9672493,-6.7188102,"https://maps.googleapis.com/maps/api/geocode/json?address=20+Ascaill+Rois,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","20 Ascáill Róis, Magheraboy Rd, Magheross, Carrickmacross, Co. Monaghan, A81 WK63, Ireland",ChIJf-e_mjmyYEgRfNDx3ke9RsE,Carrickmacross Rural,Border,34007,0.9292336406923132
18/02/2010,"14 Drummond Radhairc, Dundalk Road, Carrickmacross",Monaghan,224604.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,A81 FY07,53.9708929,-6.7067429999999995,"https://maps.googleapis.com/maps/api/geocode/json?address=14+Drummond+Radhairc,+Dundalk+Road,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","14 Dundalk Rd, Drummond Radhairc, Drummond Otra, Carrickmacross, Co. Monaghan, A81 FY07, Ireland",ChIJXcWrrzOyYEgR2ICqkdHlGs8,Carrickmacross Rural,Border,34007,0.3145856078571669
19/02/2010,"3 Tobar Carraige, Ballybay Road, Carrickmacross",Monaghan,315859.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,GEOMETRIC_CENTER,,53.987796100000004,-6.7237163,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Tobar+Carraige,+Ballybay+Road,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","Ballybay Rd, Co. Monaghan, Ireland",ChIJX_LkwYixYEgRU9JBr9Mwj54,Carrickmacross Rural,Border,34007,0.4801019237496512
26/02/2010,"47 Alderwood, Carrickmacross",Monaghan,150000.0,No,Second-Hand Dwelling house /Apartment,,ROOFTOP,A81 XK06,53.97867950000001,-6.7095706999999996,"https://maps.googleapis.com/maps/api/geocode/json?address=47+Alderwood,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","47 Alderwood, Lisanisk, Carrickmacross, Co. Monaghan, A81 XK06, Ireland",ChIJR5MLbSyyYEgR-fRJWPXhC_A,Carrickmacross Rural,Border,34007,0.7031112949857153
03/03/2010,"19 Ascaill Rois, Carrickmacross",Monaghan,176311.46,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ROOFTOP,A81 AT85,53.967295299999996,-6.7189136,"https://maps.googleapis.com/maps/api/geocode/json?address=19+Ascaill+Rois,+Carrickmacross,+Monaghan,+Ireland&key=AIzaSyBe-vaefvOwUycBlN707CRlGhsewZq-NII","19 Ascáill Róis, Magheraboy Rd, Magheross, Carrickmacross, Co. Monaghan, A81 AT85, Ireland",ChIJOdXWmjmyYEgRK4i-32rpuQk,Carrickmacross Rural,Border,34007,0.9240702423089208
