,StopAreaCode,Name_lang_en,AdministrativeAreaRef,StopAreaType,GridType,Easting,Northing,Longitude,Latitude,ParentStopAreaRef,county
30,821G000014,Carlow Train Station,821,GPBS,ITM,672559.0,677188.0,-6.922990542000001,52.84073973,,Carlow County
47,821GIR0001,Bagnelstown Train Station,821,GRLS,ITM,670794.0,661404.0,-6.952593843,52.6991348,,Carlow County
48,821GA00006,Bagnelstown Train Station,821,GPBS,ITM,670794.0,661408.0,-6.952592983,52.69917074,821GIR0001,Carlow County
49,821GA00007,Bagnelstown Train Station,821,GPBS,ITM,670792.0,661402.0,-6.952623858,52.69911709,821GIR0001,Carlow County
50,821GA00008,Bagnelstown Train Station,821,GPBS,ITM,670768.0,661385.0,-6.952982532999999,52.69896745,821GIR0001,Carlow County
51,821GA00009,Bagnelstown Train Station,821,GPBS,ITM,670755.0,661387.0,-6.953174402999999,52.69898712,821GIR0001,Carlow County
52,821GA00010,Bagnelstown Train Station,821,GPBS,ITM,670766.0,661377.0,-6.9530138379999995,52.69889582,821GIR0001,Carlow County
53,821GIR0002,Carlow Train Station,821,GRLS,ITM,672589.0,677202.0,-6.922542217,52.84086149,,Carlow County
54,821GA00001,Carlow Train Station,821,GPBS,ITM,672587.0,677193.0,-6.9225739,52.84078089,821GIR0002,Carlow County
55,821GA00002,Carlow Train Station,821,GPBS,ITM,672590.0,677202.0,-6.922527377000001,52.84086136,821GIR0002,Carlow County
56,821GA00003,Carlow Train Station,821,GPBS,ITM,672591.0,677174.0,-6.922518765,52.84060961,821GIR0002,Carlow County
57,821GA00004,Carlow Train Station,821,GPBS,ITM,672603.0,677182.0,-6.922338901,52.84067988,821GIR0002,Carlow County
58,821GA00005,Carlow Train Station,821,GPBS,ITM,672609.0,677189.0,-6.922248302000001,52.84074198,821GIR0002,Carlow County
62,822G000007,Connolly Train Station,822,GRLS,ITM,716531.0,734874.0,-6.249659062999999,53.35122994,822GIR0025,Dublin City
63,822GA00464,Connolly Train Station,822,GPBS,ITM,716512.0,734866.0,-6.249947248,53.35116227,822G000007,Dublin City
64,822GA00465,Connolly Train Station,822,GPBS,ITM,716560.0,734866.0,-6.24922664,53.3511517,822G000007,Dublin City
65,822GA00166,Connolly Train Station,822,GPBS,ITM,716530.0,734874.0,-6.249674075,53.35123017,822G000007,Dublin City
66,822GA00167,Connolly Train Station,822,GPBS,ITM,716699.0,735015.0,-6.247084956,53.35245948,822G000007,Dublin City
67,822GA00168,Connolly Train Station,822,GPBS,ITM,716696.0,735022.0,-6.247127415,53.35252302,822G000007,Dublin City
68,822GA00169,Connolly Train Station,822,GPBS,ITM,716686.0,735029.0,-6.247274966,53.35258811,822G000007,Dublin City
69,822GA00170,Connolly Train Station,822,GPBS,ITM,716680.0,735037.0,-6.247362096,53.35266129,822G000007,Dublin City
70,822GA00171,Connolly Train Station,822,GPBS,ITM,716712.0,735076.0,-6.2468672960000005,53.35300456,822G000007,Dublin City
71,822GA00172,Connolly Train Station,822,GPBS,ITM,716717.0,735094.0,-6.246785592999999,53.35316514,822G000007,Dublin City
72,822GA00173,Connolly Train Station,822,GPBS,ITM,716714.0,735097.0,-6.246829527,53.35319275,822G000007,Dublin City
73,822GA00175,Connolly Train Station,822,GPBS,ITM,716700.0,735059.0,-6.247053723,53.35285450000001,822G000007,Dublin City
74,822GA00466,Connolly Train Station,822,GPBS,ITM,716512.0,734922.0,-6.249926639,53.35166529999999,822G000007,Dublin City
226,822G002001,Clongriffin Train Station Park And Ride,822,GPBS,ITM,722965.0,740793.0,-6.15076913,53.40293954,,Dublin City
391,822G002177,Outside Train Station,822,GPBS,ITM,718487.0,732289.0,-6.2212613370000005,53.32757553,822GIR0028,Dublin City
392,822G002178,Outside Train Station,822,GPBS,ITM,716543.0,733993.0,-6.249803141,53.34331352,822GIR0134,Dublin City
847,822G002839,Outside Train Station,822,GPBS,ITM,717265.0,734799.0,-6.2386675689999995,53.35039408,822GIR0137,Dublin City
1075,822G003078,Bus Stop at Train Station,822,GPBS,ITM,716241.0,734449.0,-6.254168781000001,53.34747607,822GIR0025,Dublin City
1111,822G003115,Near Train Station,822,GPBS,ITM,713096.0,737007.0,-6.300466422,53.37113594,,Dublin City
1140,822G003145,Outside Train Station,822,GPBS,ITM,720336.0,738103.0,-6.1913088510000005,53.37938252,822GIR0131,Dublin City
