AtcoCode,PlateCode,CommonName_lang_en,ShortCommonName_lang_en,Street_lang_en,ShortCommonName_lang_ga,LocalityCentre,GridType,Easting,Northing,Longitude,Latitude,StopType,BusStopType,TimingStatus,CompassPoint,StopAreaRef,AdministrativeAreaRef,Indicator_lang_en,NptgLocalityRef,NaptanCode,county,region,electoral_district_id,electoral_district
7050B1520901,152091.0,Topaz Belleek,Topaz Belleek,N3,Béal Leice Topaz,False,ITM,593617.0,858769.0,-8.098485485,54.47735347,BCT,MKD,OTH,NW,853G000111,705,,,,Donegal County,Border,33008,Carrickboy
8210B3392501,339251.0,St Mary's NS,St Mary's NS,,SN Mhuire,False,ITM,670283.0,661574.0,-6.960116482,52.70072903,BCT,CUS,OTH,,821G000001,821,,E0821009,,Carlow County,South-East (IE),01034,Muinebeag (Bagenalstown) Urban
8210B5981201,598121.0,Carlow IT,Carlow IT,,IT Cheatharlach,False,ITM,671692.0,675986.0,-6.936121165,52.8300544,BCT,MKD,OTH,NE,821G000002,821,Nr,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000006,,Tullys Travel,,Tullow Street,,False,ITM,672060.0,676692.0,-6.9305054089999985,52.83634956,TXR,,,,821G000003,821,At,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000008,,Heatons,,X,,False,ITM,672541.0,676488.0,-6.923413243,52.83445187,TXR,,,,821G000004,821,At,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000007,,Shaws Department Store,,Tullow Street,,False,ITM,672011.0,676703.0,-6.931230089,52.83645495,TXR,,,,821G000005,821,Opp,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000001,,Fdc Accountants,,The Square,,False,ITM,685195.0,673166.0,-6.736526453,52.8027506,TXR,,,,821G000008,821,o/s,E0821014,,Carlow County,South-East (IE),01048,Tullow Urban
821000011,,Barrack Street,,,,False,ITM,672404.0,676574.0,-6.925427007000001,52.8352431,BCT,MKD,OTH,,821G000009,821,,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210B3355702,335572.0,Carlow Coach Park,Carlow Coach Park,,Clós Cóistí Cheath,False,ITM,672303.0,676404.0,-6.926963347,52.83372901,BCT,MKD,OTH,SW,821G000010,821,,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210B3355701,335571.0,Carlow Coach Park,Carlow Coach Park,,Clós Cóistí Cheath,False,ITM,672311.0,676393.0,-6.92684708,52.83362909,BCT,MKD,OTH,SW,821G000010,821,,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210PB000017,,Carlow Coach Park,Carlow Coach Park,,Clós Cóistí Cheath,False,ITM,672310.0,676393.0,-6.926861917999999,52.83362923,BCT,MKD,OTH,SW,821G000010,821,In,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000005,,Brooks Restaurant,,Tullow Street,,False,ITM,672103.0,676683.0,-6.929869325,52.83626293,TXR,,,,821G000011,821,Opp,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000004,,Bruce Betting,,Potato Market,,False,ITM,672142.0,676650.0,-6.929297902,52.83596117,TXR,,,,821G000012,821,o/s,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000003,,Ulster Bank,,Kennedy Avenue,,False,ITM,672227.0,676504.0,-6.928068911,52.83463781,TXR,,,,821G000013,821,By,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210TR000002,,Carlow Train Station,,St Josephs Road,,False,ITM,672559.0,677188.0,-6.922990542000001,52.84073973,TXR,,,,821G000014,821,Opp,E0821025,,Carlow County,South-East (IE),01001,Carlow Urban
8210PB000013,,Borris,,Main Street,,False,ITM,672889.0,650416.0,-6.924030634,52.60011443,BCT,CUS,OTH,SE,821G000016,821,Opp,E0821024,,Carlow County,South-East (IE),01017,Borris
8210PB000012,,Borris,Borris,,An Bhuiríos,False,ITM,672892.0,650424.0,-6.923984595,52.60018592,BCT,CUS,OTH,NW,821G000016,821,o/s,E0821024,,Carlow County,South-East (IE),01017,Borris
8210PB000011,,Brownshill Dolmen Carlow,,R726,,False,ITM,675702.0,676891.0,-6.876416762000001,52.83763858,BCT,MKD,OTH,NW,821G000017,821,In,E0821029,,Carlow County,South-East (IE),01027,Johnstown
8210B3390801,339082.0,Seskin Road,Seskin Road,R448,Bóthar an tSeiscinn,False,ITM,668495.0,665793.0,-6.98568732,52.738872,BCT,MKD,OTH,S,821G000018,821,,E0821006,,Carlow County,South-East (IE),01032,Leighlinbridge
