date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
04/01/2010,"Aughmagree, Kilteevan",Roscommon,215000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJaXiKoi47XEgRYHTqN6nHABg,"https://maps.googleapis.com/maps/api/geocode/json?address=Aughmagree,+Kilteevan,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.631673000000006,-8.0952894,"Kilteevan, Co. Roscommon, Ireland",,APPROXIMATE,West,30098,Kilteevan,2.9967124245253367,6.704783497906312
04/01/2010,"Cloonlaughnan, Mount Talbot",Roscommon,145000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJZaPg1h4-XEgRUqBPu6fHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Cloonlaughnan,+Mount+Talbot,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5176485,-8.2635007,"Cloonlaughnan, Ruane, Co. Roscommon, Ireland",,APPROXIMATE,West,30100,Lismaha,1.7688629334330266,12.64948840049906
06/01/2010,"Carrowntarrir, Dysart, Roscommon",Roscommon,161500.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJGRcmOY0_XEgRsg3HGajHACY,"https://maps.googleapis.com/maps/api/geocode/json?address=Carrowntarrir,+Dysart,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.4645838,-8.2192075,"Carrownadurly, Dysart, Co. Roscommon, Ireland",,APPROXIMATE,West,30023,Turrock,5.687785298552277,17.814335891543642
06/01/2010,"Scrine, Athleauge",Roscommon,195000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJ7c4w1ZU9XEgRoNMxl6nHAAo,"https://maps.googleapis.com/maps/api/geocode/json?address=Scrine,+Athleauge,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5676272,-8.256747200000001,"Athleague, Co. Roscommon, Ireland",,APPROXIMATE,West,30076,Athleague West,0.011831912586688495,7.443772486080103
08/01/2010,"Newtown, Roscommon",Roscommon,80000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ0TKOhxg7XEgRPOfgcx3lNH0,"https://maps.googleapis.com/maps/api/geocode/json?address=Newtown,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.6100483,-8.1319537,"Newtown, Co. Roscommon, Ireland",,APPROXIMATE,West,30102,Mote,0.5517748616026901,4.5264176579159745
11/01/2010,"Cloonaugh, Carrowbehy, Castlerea",Roscommon,32500.0,No,Second-Hand Dwelling house /Apartment,,ChIJJYUC_MPVXUgRKdqft_gerSk,"https://maps.googleapis.com/maps/api/geocode/json?address=Cloonaugh,+Carrowbehy,+Castlerea,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.80537,-7.7858899999999975,"Cloonagh, Cloonaugh, Co. Longford, Ireland",,APPROXIMATE,Midland,09042,Breanrisk,11.22103854904155,25.70853553029955
11/01/2010,"Cloonshannagh, Rooskey",Roscommon,78000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ7Uzj3GYpXEgRxm3dpxQcpr0,"https://maps.googleapis.com/maps/api/geocode/json?address=Cloonshannagh,+Rooskey,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.7582836,-7.995555500000001,"Cloonshannagh, Co. Roscommon, Ireland",,APPROXIMATE,West,30078,Bumlin,1.9358817884685888,19.903706267619263
11/01/2010,"Liberty, Ballydangan, Athlone",Roscommon,290000.0,No,Second-Hand Dwelling house /Apartment,,ChIJn4xkPgFJXEgRgOO9Ro0a-do,"https://maps.googleapis.com/maps/api/geocode/json?address=Liberty,+Ballydangan,+Athlone,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.4239331,-7.940689799999999,"Athlone, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13001,Athlone East Urban,2.103982725469631,27.96431188087839
13/01/2010,"The Grove, Kilteevan, Roscommon",Roscommon,50000.0,No,Second-Hand Dwelling house /Apartment,,ChIJaXiKoi47XEgRYHTqN6nHABg,"https://maps.googleapis.com/maps/api/geocode/json?address=The+Grove,+Kilteevan,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.631673000000006,-8.0952894,"Kilteevan, Co. Roscommon, Ireland",,APPROXIMATE,West,30098,Kilteevan,2.9967124245253367,6.704783497906312
15/01/2010,"Carrownamaddy, Elphin, Roscommon",Roscommon,110000.0,No,Second-Hand Dwelling house /Apartment,,ChIJF5-_6BOeXkgRkCnfN6nHABg,"https://maps.googleapis.com/maps/api/geocode/json?address=Carrownamaddy,+Elphin,+Roscommon,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.85226970000001,-8.1978488,"Elphin, Co. Roscommon, Ireland",,APPROXIMATE,West,30089,Elphin,0.4807954261689095,11.277197769232588
