date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,bus_distance,train_distance
04/01/2010,"4 Hawthorn Court, Collooney",Sligo,220000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ4xNvds3BXkgRWH1Yko5Cd2c,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Hawthorn+Court,+Collooney,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.18179749999999,-8.4865215,"4 Hawthorn Ct, Rathrippin, Collooney, Co. Sligo, F91 N2P2, Ireland",F91 N2P2,ROOFTOP,Border,31046,Collooney,0.045027724929806535,0.7519177670635949
06/01/2010,"25 Markievicz Heights, Sligo",Sligo,227000.0,No,Second-Hand Dwelling house /Apartment,,ChIJbQiVj8fpXkgRcP6imyYn23c,"https://maps.googleapis.com/maps/api/geocode/json?address=25+Markievicz+Heights,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.25572,-8.4641057,"25 Markievicz Heights, Tonaphubble, Sligo, F91 C6TY, Ireland",F91 C6TY,ROOFTOP,Border,31001,Sligo East,0.11274320323850598,2.148973068859504
08/01/2010,"28  Temple Manor, Balllinacarrow",Sligo,200000.0,Yes,New Dwelling house /Apartment,greater than 125 sq metres,ChIJow4e96nAXkgRXJBdy7-R32o,"https://maps.googleapis.com/maps/api/geocode/json?address=28+Temple+Manor,+Balllinacarrow,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.1304543,-8.5658312,"28 Temple Manor, Ballynacarrow South, Ballinacarrow, Co. Sligo, F56 YC43, Ireland",F56 YC43,ROOFTOP,Border,31081,Temple,0.4889930208492394,5.532285819252415
12/01/2010,"No. 11, Cartron Estate, Sligo",Sligo,85000.0,No,Second-Hand Dwelling house /Apartment,,ChIJG5xxBTjoXkgRZ1oovZhQUbg,"https://maps.googleapis.com/maps/api/geocode/json?address=No.+11,+Cartron+Estate,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.279804399999996,-8.471613699999999,"11 Cartron Estate, Ballytivnan, Sligo, F91 RYW8, Ireland",F91 RYW8,ROOFTOP,Border,31002,Sligo North,0.07434537662282904,1.0941336494020515
13/01/2010,"2  Cois Na Dun, Carrownanty, Ballymote",Sligo,128640.97,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJr1MDxB2_XkgROqYh_GIMCkM,"https://maps.googleapis.com/maps/api/geocode/json?address=2+Cois+Na+Dun,+Carrownanty,+Ballymote,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.09051789999999,-8.5224729,"2 Cois Na Dún, Stoneparks, Ballymote, Co. Sligo, F56 X891, Ireland",F56 X891,ROOFTOP,Border,31036,Ballymote,0.5180494276751345,0.2694508871531896
14/01/2010,"3 Cluainin Na Mbo, Enniscrone",Sligo,205000.0,No,Second-Hand Dwelling house /Apartment,,ChIJA9SNqYExWUgR4v4Qvyal9Dc,"https://maps.googleapis.com/maps/api/geocode/json?address=3+Cluainin+Na+Mbo,+Enniscrone,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.2253505,-9.092288,"3 Cluainín Na mBó, Carrowhubbuck South, Enniscrone, Co. Sligo, F26 R924, Ireland",F26 R924,ROOFTOP,Border,31026,Kilglass,1.3199143480125504,39.100157269412854
15/01/2010,"No. 42 The Chestnut, Woodstream, Coolaney",Sligo,125000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,EihXb29kc3RyZWFtLCBDb29sYW5leSwgQ28uIFNsaWdvLCBJcmVsYW5kIi4qLAoUChIJLfqIySbHXkgRzusk-z5olh8SFAoSCcndooJLxl5IEaAI3zepxwAY,"https://maps.googleapis.com/maps/api/geocode/json?address=No.+42+The+Chestnut,+Woodstream,+Coolaney,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.16722370000001,-8.607503399999999,"Woodstream, Coolaney, Co. Sligo, Ireland",,GEOMETRIC_CENTER,Border,31073,Coolaney,0.6134562727818812,7.6316426091148415
18/01/2010,"10 The Downs, Ballymote",Sligo,158589.86,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJoYkiOsnpXkgRZPJB9mp8tw0,"https://maps.googleapis.com/maps/api/geocode/json?address=10+The+Downs,+Ballymote,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.26093760000001,-8.4713931,"10 Crozon Downs, Knocknaganny, Sligo, F91 Y75X, Ireland",F91 Y75X,ROOFTOP,Border,31003,Sligo West,0.1040992919306258,1.4073668800563797
20/01/2010,"22 St Annes Terrace, Sligo",Sligo,122460.73,No,Second-Hand Dwelling house /Apartment,,ChIJ3wCEYjXoXkgRds8-nnDz6B0,"https://maps.googleapis.com/maps/api/geocode/json?address=22+St+Annes+Terrace,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.27034279999999,-8.467931499999999,"22 St Annes Terrace, Abbeyquarter North, Sligo, F91 V2HX, Ireland",F91 V2HX,ROOFTOP,Border,31001,Sligo East,0.14261130032696265,0.9274786384370434
20/01/2010,"62 The Hawthorns, Carraroe",Sligo,230000.0,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJBStKa8HpXkgRDF8iRVbiBVQ,"https://maps.googleapis.com/maps/api/geocode/json?address=62+The+Hawthorns,+Carraroe,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.250213,-8.4671871,"62 The Hawthorns, Tullynagracken North, Carraroe, Co. Sligo, F91 A09D, Ireland",F91 A09D,ROOFTOP,Border,31052,Kilmacowen,0.4798993866467624,2.6045947643903222
21/01/2010,"11 Old Bundoran Road, Sligo",Sligo,116955.4,No,Second-Hand Dwelling house /Apartment,,ChIJrSHGaUHoXkgRmN0X37cprzA,"https://maps.googleapis.com/maps/api/geocode/json?address=11+Old+Bundoran+Road,+Sligo,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",54.2864698,-8.4666639,"11 Old Bundoran Rd, Rathbraghan, Sligo, F91 A4W5, Ireland",F91 A4W5,ROOFTOP,Border,31002,Sligo North,0.06639433230882273,1.8858922004084688
