date_of_sale,address,county,price,vat_exclusive,property_description,property_size,place_id,geocoding_url,latitude,longitude,formatted_address,eircode,accuracy,region,electoral_district_id,electoral_district,public_transport_distance,train_distance
08/01/2010,"94, Greenpark Meadows, Mullingar",Westmeath,167000.0,No,Second-Hand Dwelling house /Apartment,,ChIJ_eM9THDAXUgRaiclotdhOXQ,"https://maps.googleapis.com/maps/api/geocode/json?address=94,+Greenpark+Meadows,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.51865079999999,-7.376124000000001,"94 Greenpark Meadows, Grange South, Mullingar, Co. Westmeath, N91 Y7D6, Ireland",N91 Y7D6,ROOFTOP,Midland,13089,Mullingar Rural,1.6336478786113422,2.030076043486441
11/01/2010,"4 Cluain Eala, Coosan, Athlone",Westmeath,395000.0,No,Second-Hand Dwelling house /Apartment,,ChIJXbv1C6xJXEgR2pEZLvqhwbg,"https://maps.googleapis.com/maps/api/geocode/json?address=4+Cluain+Eala,+Coosan,+Athlone,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.4353738,-7.9432157000000005,"4 Cluain Eala, Coosan, Athlone, Co. Westmeath, N37 H0C8, Ireland",N37 H0C8,ROOFTOP,Midland,13003,Athlone East Rural,0.30702099192627386,1.041973179670948
11/01/2010,"Hillview, Ballinderry, Mullingar",Westmeath,125000.0,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,ChIJbUrMrfi_XUgRtGmsEvVL3iE,"https://maps.googleapis.com/maps/api/geocode/json?address=Hillview,+Ballinderry,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.511612,-7.3411582000000015,"Hillview, Ballinderry, Mullingar, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13089,Mullingar Rural,0.4398449226323216,1.2514138110274324
11/01/2010,"Lower Town, Kilbeggan",Westmeath,170000.0,No,Second-Hand Dwelling house /Apartment,,ChIJa9KejSu7XUgR-PUXHsPIY6w,"https://maps.googleapis.com/maps/api/geocode/json?address=Lower+Town,+Kilbeggan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.3344494,-7.4525479999999975,"Lowertown, Belmont, Co. Westmeath, Ireland",,APPROXIMATE,Midland,13097,Rahugh,4.622304130537252,22.085066417130154
12/01/2010,"147B Greenpark Meadows, Mullingar",Westmeath,185000.0,No,Second-Hand Dwelling house /Apartment,,ChIJSX0gA3LAXUgROz5DYgChc9Y,"https://maps.googleapis.com/maps/api/geocode/json?address=147B+Greenpark+Meadows,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.5200699,-7.3723085999999975,"147B Greenpark Meadows, Grange South, Mullingar, Co. Westmeath, N91 E6HW, Ireland",N91 E6HW,ROOFTOP,Midland,13089,Mullingar Rural,1.4970957636152422,1.749938355726376
14/01/2010,"112, Greenpark Meadows, Mullingar",Westmeath,160000.0,No,Second-Hand Dwelling house /Apartment,,ChIJtwqLkXHAXUgRgz9ZpbCeb5A,"https://maps.googleapis.com/maps/api/geocode/json?address=112,+Greenpark+Meadows,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.51890179999999,-7.3732482,"112 Greenpark Meadows, Grange South, Mullingar, Co. Westmeath, N91 H3F6, Ireland",N91 H3F6,ROOFTOP,Midland,13089,Mullingar Rural,1.6238212707929267,1.8387992744688395
15/01/2010,"48 Ardleigh Park, Mullingar",Westmeath,153000.0,No,Second-Hand Dwelling house /Apartment,,ChIJWWS-Qm3AXUgRjxElTroH7Io,"https://maps.googleapis.com/maps/api/geocode/json?address=48+Ardleigh+Park,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.521728599999996,-7.367491999999999,"48 Ardleigh Park, Sarsanstown, Mullingar, Co. Westmeath, N91 N6X5, Ireland",N91 N6X5,ROOFTOP,Midland,13089,Mullingar Rural,1.1306454834368238,1.4080036717963278
18/01/2010,"14 Killucan Manor Green, Killucan",Westmeath,187500.0,No,Second-Hand Dwelling house /Apartment,,ChIJi-XaYMGSXUgRp4nJOQB9eGU,"https://maps.googleapis.com/maps/api/geocode/json?address=14+Killucan+Manor+Green,+Killucan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.50624000000001,-7.1383674999999975,"14 Killucan Manor Green, Rathwire, Killucan, Co. Westmeath, N91 CF79, Ireland",N91 CF79,ROOFTOP,Midland,13082,Killucan,0.2551296040204472,13.832352346080391
18/01/2010,"Tullamore Road, Kilbeggan",Westmeath,425000.0,No,Second-Hand Dwelling house /Apartment,,ChIJESu2s_S6XUgR-L6VlPilstU,"https://maps.googleapis.com/maps/api/geocode/json?address=Tullamore+Road,+Kilbeggan,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.36724779999999,-7.495864599999999,"Tullamore Rd, Kilbeggan, Co. Westmeath, Ireland",,GEOMETRIC_CENTER,Midland,13079,Kilbeggan,0.027998123239932785,19.930551378990927
19/01/2010,"31 Lynn Avenue, Mullingar",Westmeath,301500.0,No,Second-Hand Dwelling house /Apartment,,ChIJNcFEjQLAXUgRCwNYho0SlmQ,"https://maps.googleapis.com/maps/api/geocode/json?address=31+Lynn+Avenue,+Mullingar,+Westmeath,+Ireland&key=AIzaSyA1vJtESoYOSSuM_yTI1j1jpPGpxx_VGyk",53.520681700000004,-7.338403199999999,"Mulroy House, 31 Lynn Ave, Bellview, Mullingar, Co. Westmeath, N91 Y8D9, Ireland",N91 Y8D9,ROOFTOP,Midland,13091,Mullingar South Urban,0.5759429938291373,0.5266596610522654
