Stop number,Name without locality,Locality,Locality number,Code,Name,NaPTAN stop class,NaPTANId,Easting,Northing
1,Pearse Street (Pearse Avenue),Sallynoggin,E0825024,->NE2,Stop No. 3234,BCT,8250DB003234,724091,726427
1,Pearse Street (Pearse Avenue),Sallynoggin,E0825024,->SW1,Stop No. 3210,BCT,8250DB003210,724087,726412
2,Lr. Drumcondra Road,Drumcondra (Dublin),E0822021,1,Drumcondra Road Lower,BCT,825000101,715947,736197
2,Lr. Drumcondra Road,Drumcondra (Dublin),E0822021,2,Drumcondra Road Lower,BCT,8250B1001201,715929,736199
3,Clontarf Road Junction Strandville Avenu,Clontarf,E0822038,1,Stop No. 1741,BCT,8220DB001741,718428,736222
4,College Green,Dublin City South,E0822091,1,Taxi Rank,TXR,8220TR000078,715797,734107
4,College Green,Dublin City South,E0822091,2,Stop No. 1359,BCT,8220DB001359,715770,734095
4,College Green,Dublin City South,E0822091,3,College Green,BCT,825000157,715769,734095
4,College Green,Dublin City South,E0822091,4,Stop No. 4522,BCT,8220DB004522,715821,734081
4,College Green,Dublin City South,E0822091,5,Stop No. 1279,BCT,8220DB001279,715748,734079
4,College Green,Dublin City South,E0822091,6,Stop No. 1278,BCT,8220DB001278,715775,734077
4,College Green,Dublin City South,E0822091,7,College Green,BCT,8220PB002155,715774,734077
4,College Green,Dublin City South,E0822091,8,Stop No. 4521,BCT,8220DB004521,715850,734086
5,Howth Road (Blackbanks),Raheny,E0822042,->E2,Stop No. 541,BCT,8220DB000541,722942,738447
5,Howth Road (Blackbanks),Raheny,E0822042,->W,Stop No. 593,BCT,8220DB000593,723001,738458
5,Howth Road (Blackbanks),Raheny,E0822042,1,,BCT,825000552,722934,738422
6,Schoolhouse Hotel,Dublin City South,E0822091,1,Northumberland Road,BCT,825000135,717242,733333
6,Schoolhouse Hotel,Dublin City South,E0822091,2,Northumberland Road,BCT,825000136,717232,733321
7,"Beneavin Road, Junction Beneavin Park",Glasnevin,E0822022,->E,Stop No. 168,BCT,8220DB000168,714115,739049
7,"Beneavin Road, Junction Beneavin Park",Glasnevin,E0822022,->W2,Stop No. 165,BCT,8220DB000165,714159,739025
8,D4 Hotels,Dublin City South,E0822091,1,Stop No. 7437,BCT,8220DB007437,717674,732911
8,D4 Hotels,Dublin City South,E0822091,2,,BCT,825000558,717659,732897
8,D4 Hotels,Dublin City South,E0822091,3,D4 Berkeley,TXR,8220TR000306,717630,732881
8,D4 Hotels,Dublin City South,E0822091,4,D4 Berkeley,TXR,8220TR000305,717608,732862
8,D4 Hotels,Dublin City South,E0822091,5,Ballsbridge Towers,TXR,8220TR000108,717549,732800
8,D4 Hotels,Dublin City South,E0822091,6,,BCT,825000559,717594,732703
8,D4 Hotels,Dublin City South,E0822091,7,D4 Hotel/Berkeley Court,BCT,825000560,717591,732711
8,D4 Hotels,Dublin City South,E0822091,8,Pembroke Road,BCT,825000561,717608,732694
8,D4 Hotels,Dublin City South,E0822091,9,Pembroke Road,BCT,825000562,717632,732636
8,D4 Hotels,Dublin City South,E0822091,10,D4 Towers Hotel,BCT,8220PB002209,717631,732636
9,"Bewleys Hotel, Ballsbridge",Ballsbridge,E0822029,1,Merrion Road,BCT,825000149,718383,732051
9,"Bewleys Hotel, Ballsbridge",Ballsbridge,E0822029,2,Merrion Road,BCT,825000134,718363,732048
10,Donnybrook - Ever Ready,Donnybrook,E0822030,1,Donnybrook Road,BCT,825000132,717631,731542
10,Donnybrook - Ever Ready,Donnybrook,E0822030,2,Donnybrook Road,BCT,825000133,717613,731535
11,"Hampton Hotel, Morehampton Road",Donnybrook,E0822030,1,Morehampton Road,BCT,825000137,717147,732030
11,"Hampton Hotel, Morehampton Road",Donnybrook,E0822030,2,Morehampton Road,BCT,825000138,717123,732030
12,Leeson St. Upr. Opp. Burlington Hotel,Dublin City South,E0822091,1,Lesson Street Upper,BCT,825000139,716746,732397
12,Leeson St. Upr. Opp. Burlington Hotel,Dublin City South,E0822091,2,Lesson Street Upper,BCT,825000140,716735,732384
13,Leeson Street Upr. Before Canal,Dublin City South,E0822091,1,Lesson Street Upper,BCT,825000143,716404,732693
13,Leeson Street Upr. Before Canal,Dublin City South,E0822091,2,Lesson Street Upper,BCT,825000144,716388,732689
14,Leeson St. Lr. Stephens Hall Hotel,Dublin City South,E0822091,1,Lesson Street Lower,BCT,825000141,716140,733110
14,Leeson St. Lr. Stephens Hall Hotel,Dublin City South,E0822091,2,Lesson Street Lower,BCT,825000142,716128,733097
15,Wellington Lane (Wellington Green,Templeogue,E0823019,->N,Stop No. 100,BCT,8230DB000100,711816,729400
15,Wellington Lane (Wellington Green,Templeogue,E0823019,1,,BCT,825000343,711821,729398
16,Dawson Street (Pink Shirt Shop),Dublin City South,E0822091,1,Dawson Street,BCT,825000105,715969,733582
16,Dawson Street (Pink Shirt Shop),Dublin City South,E0822091,2,Dawson Street,BCT,825000106,715957,733596
16,Dawson Street (Pink Shirt Shop),Dublin City South,E0822091,->N2,Dawson Street,BCT,8220B1353301,715963,733623
17,Boghall Road (Cherry Tree Drive),Bray,E0835048,->E,Stop No. 4138,BCT,8350DB004138,726575,717012
17,Boghall Road (Cherry Tree Drive),Bray,E0835048,->E2,Stop No. 4145,BCT,8350DB004145,726580,717020
18,Westmoreland St - Boyle Sports,Dublin City South,E0822091,1,Westmoreland Street,BCT,825000104,715925,734235
18,Westmoreland St - Boyle Sports,Dublin City South,E0822091,2,Westmoreland Street,BCT,8250B1064301,715909,734233
19,Lr. Drumcondra Road - Railway Bridge,Drumcondra (Dublin),E0822021,1,Drumcondra Road Lower,BCT,825000145,715925,736150
19,Lr. Drumcondra Road - Railway Bridge,Drumcondra (Dublin),E0822021,2,Drumcondra Road Lower,BCT,825000146,715914,736164
20,Killiney (Fitzpatrick Castle Hotel),Killiney,E0825005,1,Fitzpatrick Castel Hotel,BCT,825000097,725849,726017
20,Killiney (Fitzpatrick Castle Hotel),Killiney,E0825005,2,Fitzpatrick Castel Hotel,BCT,825000098,725835,726017
21,Dalkey (Hyde Road),Dalkey,E0825001,1,Hyde Road,BCT,825000099,726249,727011
21,Dalkey (Hyde Road),Dalkey,E0825001,2,Hyde Road,BCT,825000100,726183,727010
22,Glasthule (opp. St Jospeh's Church),Glasthule,E0825022,1,Glasthule Road,BCT,825000030,725013,728004
22,Glasthule (opp. St Jospeh's Church),Glasthule,E0825022,2,Glasthule Road,BCT,825000031,725003,727990
23,Dun Laoghaire (Royal Marine Road),Dun Laoghaire,E0825030,1,Royal Marine Road,BCT,825000032,724333,728606
23,Dun Laoghaire (Royal Marine Road),Dun Laoghaire,E0825030,2,Royal Marine Road,BCT,825000033,724313,728605
23,Dun Laoghaire (Royal Marine Road),Dun Laoghaire,E0825030,3,Marine Road,BCT,825000411,724323,728603
23,Dun Laoghaire (Royal Marine Road),Dun Laoghaire,E0825030,4,Marine Road,BCT,825000412,724318,728605
24,"Dun Laoghaire (Country Hall, Marine Road)",Dun Laoghaire,E0825030,1,Marine Road,BCT,825000034,724388,728703
24,"Dun Laoghaire (Country Hall, Marine Road)",Dun Laoghaire,E0825030,2,Marine Road,BCT,825000035,724370,728707
25,Monkstown,Monkstown (DunLaoghaire-Rathdown),E0825023,1,Monktown Road,BCT,825000036,722987,728653
25,Monkstown,Monkstown (DunLaoghaire-Rathdown),E0825023,2,Stop No. 3073,BCT,8250DB003073,722985,728641
26,Blackrock (Frascati Centre),Blackrock (DunLaoghaire-Rathdown),E0825014,1,Frascati Road,BCT,825000037,721261,729454
26,Blackrock (Frascati Centre),Blackrock (DunLaoghaire-Rathdown),E0825014,2,Frascati Road,BCT,825000038,721243,729436
27,Booterstown (opp. DART station),Booterstown,E0825027,1,Rock  Road,BCT,825000039,720403,730111
27,Booterstown (opp. DART station),Booterstown,E0825027,2,Rock  Road,BCT,825000040,720396,730097
28,Rock Road (Tara Towers Hotel),Merrion,E0822039,1,Rock Road,BCT,825000041,719808,730736
28,Rock Road (Tara Towers Hotel),Merrion,E0822039,2,Rock Road,BCT,825000042,719795,730727
29,Sandymount (Strand Road - Near Parade Ave Jct),Sandymount,E0822028,1,Strand Road,BCT,825000043,719426,732101
29,Sandymount (Strand Road - Near Parade Ave Jct),Sandymount,E0822028,2,Strand Road,BCT,825000044,719412,732094
30,Sandymount (Strand Road / Gilford Ave Jct),Sandymount,E0822028,1,Strand Road,BCT,825000045,719200,732816
30,Sandymount (Strand Road / Gilford Ave Jct),Sandymount,E0822028,2,Strand Road,BCT,825000046,719186,732807
31,Sean Moore Road Irish Glass Site,Irishtown (Dublin City),E0822027,1,Sean Moore Road,BCT,8220PB002200,718920,733737
31,Sean Moore Road Irish Glass Site,Irishtown (Dublin City),E0822027,2,Sean Moore Road,BCT,825000047,718900,733744
32,Westmoreland Street (O'Connell Bridge),Dublin City South,E0822091,->S1,Stop No. 318,BCT,8220DB000318,715916,734311
32,Westmoreland Street (O'Connell Bridge),Dublin City South,E0822091,1,,BCT,825000338,715919,734308
33,Phibsboro Road (Monck Place),Dublin Airport,E0824041,->N,Stop No. 197,BCT,8220DB000197,714941,735695
34,Woodford Walk (Woodford Grove),Dublin Airport,E0824041,->SE,Stop No. 1965,BCT,8230DB001965,707970,731626
35,Ardglas Estate,Dundrum (Tipperary),E0843021,1,,BCT,843000188,717218,727335
35,Ardglas Estate,Dundrum (Tipperary),E0843021,2,,BCT,843000189,717208,727352
36,Fermoy - McCurtain St.,Fermoy,E0838013,1,McCurtain Street,BCT,838000003,580970,598478
36,Fermoy - McCurtain St.,Fermoy,E0838013,2,McCurtain Street,BCT,838000004,580974,598460
37,Mitchelstown - New Square,Mitchelstown,E0838045,1,Lower Cork Street,BCT,8380B1553801,581571,612776
37,Mitchelstown - New Square,Mitchelstown,E0838045,2,Lower Cork Street,BCT,838000005,581586,612775
37,Mitchelstown - New Square,Mitchelstown,E0838045,->N,Mitchelstown,BCT,8380B2552101,581569,612741
37,Mitchelstown - New Square,Mitchelstown,E0838045,->S,Mitchelstown,BCT,8380B2552102,581584,612778
37,Mitchelstown - New Square,Mitchelstown,E0838045,3,Mitchelstown,BCT,8380B1553501,581588,612793
38,Main Street,Cashel,E0843061,1,Main Street,BCT,8430B1554001,607670,640660
38,Main Street,Cashel,E0843061,2,Main Street,BCT,8430B2552301,607680,640646
38,Main Street,Cashel,E0843061,3,Main Street,BCT,8430B2552302,607661,640630
39,Ballycullen Road (Hunter's Avenue),Knocklyon,E0823008,->NW,Stop No. 6282,BCT,8230DB006282,711459,725892
39,Ballycullen Road (Hunter's Avenue),Knocklyon,E0823008,1,,BCT,825000543,711463,725886
40,All Saints Road (Sybill Hill Ave),Raheny,E0822042,->E,Stop No. 650,BCT,8220DB000650,720732,737670
40,All Saints Road (Sybill Hill Ave),Raheny,E0822042,->W2,Stop No. 659,BCT,8220DB000659,720709,737651
40,All Saints Road (Sybill Hill Ave),Raheny,E0822042,1,,BCT,825000437,720696,737648
41,Grange Road (Tara Hill Road),Rathfarnham,E0823016,->N,Stop No. 1327,BCT,8230DB001327,714503,728141
42,Grange Road (Highfield Avenue),Rathfarnham,E0823016,1,Stop No. 2969,BCT,8250DB002969,715345,726843
42,Grange Road (Highfield Avenue),Rathfarnham,E0823016,->NW,Stop No. 2979,BCT,8250DB002979,715480,726754
43,Broadford Road (Stone Masons Way),Ballinteer,E0825006,->W,Stop No. 2852,BCT,8250DB002852,715970,727008
43,Broadford Road (Stone Masons Way),Ballinteer,E0825006,->E,Stop No. 2853,BCT,8250DB002853,715968,727021
44,Kildare - The Square,Kildare,E0826010,1,Dublin Street,BCT,826000114,672857,712374
44,Kildare - The Square,Kildare,E0826010,2,Dublin Street,BCT,826000028,672858,712358
45,Dublin - Bachelor's Walk,Dublin,E0822013,1,Bachelors Walk,BCT,825000107,715822,734423
45,Dublin - Bachelor's Walk,Dublin,E0822013,2,Bachelors Walk,BCT,8220PB002138,715826,734407
46,Kildare Village,Kildare,E0826010,1,Kildare Village,BCT,826000009,672469,712020
47,Drogheda,Drogheda,E0830001,1,Dundalk Retail Pk,BCT,830000001,707019,773723
47,Drogheda,Drogheda,E0830001,2,Dundalk Retail Pk,BCT,830000094,707015,773735
48,Dundalk,Dundalk,E0830004,1,Dundalk Retail Pk,BCT,830000002,705654,807268
48,Dundalk,Dundalk,E0830004,2,Dundalk Retail Pk,BCT,830000003,705656,807256
49,Mount Merrion (Mt Merrion/South Hill Ave),Stillorgan,E0825009,1,Mount Merrion Avenue,BCT,825000050,720136,729090
49,Mount Merrion (Mt Merrion/South Hill Ave),Stillorgan,E0825009,2,Mount Merrion Avenue,BCT,825000051,720099,729068
50,Galloping Green - N11,Stillorgan,E0825009,1,Stillorgan Road,BCT,825000052,720142,728294
50,Galloping Green - N11,Stillorgan,E0825009,2,Stillorgan Road,BCT,825000053,720119,728275
51,Foxrock Church - N11,Galloping Green,E0825032,1,Stillorgan Road,BCT,825000054,720946,726965
51,Foxrock Church - N11,Galloping Green,E0825032,2,Stillorgan Road,BCT,825000055,720925,726941
52,Rathgormack Community Centre,Rathgormack,E0845011,1,Rathgormack Community Centre,BCT,845000106,634130,617296
52,Rathgormack Community Centre,Rathgormack,E0845011,2,Rathgormack Community Centre,BCT,845000107,634142,617321
53,Cabinteely Cross,Cabinteely,E0825017,2,Bray Road,BCT,8250B1344302,723397,725123
53,Cabinteely Cross,Cabinteely,E0825017,->NW1,Cabinteely Cross,BCT,8250PB000565,723393,725115
54,Loughlinstown Fly Over,Ballybrack,E0825007,1,Bray Road,BCT,825000058,724317,723537
54,Loughlinstown Fly Over,Ballybrack,E0825007,2,Bray Road,BCT,825000059,724284,723543
55,Shankill Village (Mickey Byrnes Bar),Shankill,E0825008,1,Dublin Road,BCT,825000060,725249,721510
55,Shankill Village (Mickey Byrnes Bar),Shankill,E0825008,2,Dublin Road,BCT,825000061,725232,721511
56,Kilbarron Road (Cromcastle Drive),Kilmore (Dublin City),E0822040,->W1,Stop No. 1228,BCT,8220DB001228,718549,739487
56,Kilbarron Road (Cromcastle Drive),Kilmore (Dublin City),E0822040,->E,Stop No. 1237,BCT,8220DB001237,718452,739534
57,Bray (Ramada Hotel),County Wicklow,E0835049,1,Vevay Road,BCT,835000008,726927,716751
57,Bray (Ramada Hotel),County Wicklow,E0835049,2,Vevay Road,BCT,835000009,726915,716758
58,Greystones - Lidl,Greystones,E0835045,1,Rathdown Road,BCT,835000001,728325,713019
58,Greystones - Lidl,Greystones,E0835045,2,Rathdown Road,BCT,835000003,728310,713014
59,Courtown Harbour,Courtown,E0834080,1,,BCT,8340B3306701,719936,656249
59,Courtown Harbour,Courtown,E0834080,2,,BCT,8340B3306702,719945,656261
60,Greystones - Charlsland,Greystones,E0835045,1,Charlesland,BCT,835000006,729669,710373
60,Greystones - Charlsland,Greystones,E0835045,2,Charlesland,BCT,835000007,729634,710372
61,Leopardstown Bewleys Hotel,Foxrock,E0825003,1,Leopardstown Road,BCT,825000062,719726,726066
61,Leopardstown Bewleys Hotel,Foxrock,E0825003,2,Leopardstown Road,BCT,825000063,719699,726063
62,"Leopardstown, Burton Hall Road",Sandyford,E0825011,1,Burton Hall Road,BCT,825000064,719835,726336
62,"Leopardstown, Burton Hall Road",Sandyford,E0825011,2,Burton Hall Road,BCT,825000065,719825,726322
63,"Mircosoft, Blackthorn Ave",Sandyford,E0825011,1,Blckthorn Road,BCT,825000026,719549,726672
63,"Mircosoft, Blackthorn Ave",Sandyford,E0825011,2,Blckthorn Road,BCT,825000027,719534,726675
64,Stillorgan Shopping Centre,Stillorgan,E0825009,1,Kilmacud Road,BCT,825000028,720008,727966
64,Stillorgan Shopping Centre,Stillorgan,E0825009,2,Kilmacud Road,BCT,825000029,719986,727978
65,N11 Opp. Stillorgan Park Hotel,Stillorgan,E0825009,2,Stillorgan Road,BCT,825000066,719749,728706
65,N11 Opp. Stillorgan Park Hotel,Stillorgan,E0825009,3,Stillorgan Road,BCT,825000510,719756,728693
66,Radisson Hotel Stillorgan Road,Booterstown,E0825027,1,Stop No. 2009,BCT,8250DB002009,719449,729613
66,Radisson Hotel Stillorgan Road,Booterstown,E0825027,2,Stop No. 2070,BCT,8250DB002070,719429,729597
66,Radisson Hotel Stillorgan Road,Booterstown,E0825027,->NW,Radisson Hotel,BCT,8250PB000572,719432,729572
67,Glen,Doagh,E0853069,1,1,BCT,853000153,609589,942015
67,Glen,Doagh,E0853069,2,2,BCT,853000154,609601,942008
68,N11 Opp. R.T.E.,Donnybrook,E0822030,2,Stillorgan Road,BCT,8250B1063801,718225,730854
68,N11 Opp. R.T.E.,Donnybrook,E0822030,->NW,Stop No. 770,BCT,8220DB000770,718225,730842
69,UCD Montrose Hotel,Booterstown,E0825027,1,Stillorgan Road,BCT,825000067,718967,730111
70,Boghall Road Oldcourt,Bray,E0835048,1,,BCT,8350DB007522,725715,716950
71,Leeson St. Lower,Dublin City South,E0822091,1,Lesson Street Lowder,BCT,825000070,716862,732320
71,Leeson St. Lower,Dublin City South,E0822091,2,Lesson Street Lowder,BCT,825000071,716855,732307
72,"Stillorgan Village, Car Park",Stillorgan,E0825009,1,Kilmacud Road,BCT,825000072,719884,727926
72,"Stillorgan Village, Car Park",Stillorgan,E0825009,2,Kilmacud Road^,BCT,825000073,719877,727938
73,"Leopardstown, Burton Hall Road",Sandyford,E0825011,1,Burton Hall Avenue,BCT,825000074,719634,726447
73,"Leopardstown, Burton Hall Road",Sandyford,E0825011,2,Burton Hall Avenue,BCT,825000075,719627,726439
74,Wellingtonbridge,Wellingtonbridge (Wexford),E0834061,1,St John's Court,BCT,834000003,685279,613568
74,Wellingtonbridge,Wellingtonbridge (Wexford),E0834061,2,St John's Court,BCT,834000004,685265,613551
74,Wellingtonbridge,Wellingtonbridge (Wexford),E0834061,->SE,Wellingtonbridge,BCT,8340PB003293,685329,613513
74,Wellingtonbridge,Wellingtonbridge (Wexford),E0834061,->NW,Wellingtonbridge,BCT,8340PB003291,685325,613507
75,Crescent Quay,Wexford,E0834025,1,The Cresent,BCT,834000005,704993,621793
75,Crescent Quay,Wexford,E0834025,2,The Cresent,BCT,834000006,704979,621790
75,Crescent Quay,Wexford,E0834025,->NW,Crescent Quay Wexford,BCT,8340PB003184,704985,621784
75,Crescent Quay,Wexford,E0834025,->SE,Crescent Quay Wexford,BCT,8340PB003205,704987,621785
76,Castlebridge,Castlebridge,E0834055,1,R741,BCT,834000007,705507,626783
76,Castlebridge,Castlebridge,E0834055,2,R741,BCT,834000008,705490,626806
77,Crossabeg,County Wexford,E0834081,1,Crossabeg (Foleys),BCT,834000009,702125,626871
77,Crossabeg,County Wexford,E0834081,2,Crossabeg (Foleys),BCT,834000010,702115,626863
78,Oilgate,Oilgate,E0834041,1,Powers Range,BCT,834000011,699976,631225
78,Oilgate,Oilgate,E0834041,2,Powers Range,BCT,834000012,699964,631217
79,Ennicorthy,Enniscorthy,E0834002,1,Abbey Quay,BCT,834000013,697398,639863
79,Ennicorthy,Enniscorthy,E0834002,2,Abbey Quay,BCT,834000014,697386,639855
80,Mallow Street,Glentworth,E0840005,1,Mallow Street,BCT,8410B6093401,557391,656714
81,Camolin,Camolin,E0834046,1,Main Street,BCT,834000017,706756,652957
81,Camolin,Camolin,E0834046,2,Main Street,BCT,834000018,706769,652946
82,Summerhill North (Chamber of Comm),Cork City,E0837001,1,,BCT,8380B2404701,568308,572411
82,Summerhill North (Chamber of Comm),Cork City,E0837001,2,,BCT,8380B2402001,568337,572422
82,Summerhill North (Chamber of Comm),Cork City,E0837001,3,,BCT,8380B2402002,568337,572422
83,Inch,Inch (Wexford),E0834007,1,Inch,BCT,834000021,719210,667087
83,Inch,Inch (Wexford),E0834007,2,Inch,BCT,834000022,719203,667100
84,"Merrion Road, RDS",Ballsbridge,E0822029,1,RDS,BCT,825000570,717942,732394
84,"Merrion Road, RDS",Ballsbridge,E0822029,2,Stop No. 486,BCT,8220DB000486,717978,732368
84,"Merrion Road, RDS",Ballsbridge,E0822029,3,Stop No. 485,BCT,8220DB000485,717986,732363
84,"Merrion Road, RDS",Ballsbridge,E0822029,4,Stop No. 416,BCT,8220DB000416,717944,732394
85,Sean McDermott Street,Dublin,E0822013,1,Sean MacDermott Street,BCT,825000076,716023,735039
85,Sean McDermott Street,Dublin,E0822013,2,Sean MacDermott Street,BCT,825000077,716027,735028
86,"Swords Road, Whitehall",Whitehall (Dublin City),E0822025,1,Swords Road,BCT,825000078,716814,738471
86,"Swords Road, Whitehall",Whitehall (Dublin City),E0822025,2,Swords Road,BCT,825000079,716805,738470
87,The 02 Arena (Point Depot),Docklands,E0822073,1,Stop No. 7399,BCT,8220DB007399,718050,734593
87,The 02 Arena (Point Depot),Docklands,E0822073,2,East Wall Road,BCT,825000495,718050,734568
87,The 02 Arena (Point Depot),Docklands,E0822073,3,East Wall Road,BCT,825000496,718034,734571
87,The 02 Arena (Point Depot),Docklands,E0822073,4,Stop No. 2507,BCT,8220DB002507,718039,734574
87,The 02 Arena (Point Depot),Docklands,E0822073,5,East Wall Road,BCT,825000440,718034,734566
87,The 02 Arena (Point Depot),Docklands,E0822073,6,East Wall Road,BCT,825000441,718034,734566
87,The 02 Arena (Point Depot),Docklands,E0822073,7,The O2 Arena East Wall Road Dublin,BCT,8220PB002197,718042,734554
87,The 02 Arena (Point Depot),Docklands,E0822073,8,The O2 Arena East Wall Road Dublin,BCT,8220PB003849,718039,734398
87,The 02 Arena (Point Depot),Docklands,E0822073,9,The O2 Arena Taxi Rank,TXR,8220TR000103,717894,734422
87,The 02 Arena (Point Depot),Docklands,E0822073,10,North Wall Quay,BCT,825000442,717917,734426
87,The 02 Arena (Point Depot),Docklands,E0822073,11,,BCT,825000443,717917,734426
88,Portlaoise - Hospital,Portlaoise,E0828012,1,Dublin Road,BCT,828000003,648468,698908
88,Portlaoise - Hospital,Portlaoise,E0828012,2,Dublin Road,BCT,828000004,648474,698894
89,Kilminchy  (junction R419),Portlaoise,E0828012,1,Dublin Road,BCT,8280PB001411,650090,699632
89,Kilminchy  (junction R419),Portlaoise,E0828012,2,Dublin Road,BCT,8280PB001405,650096,699618
90,Monasterevin,Monasterevin,E0826017,1,Dublin Road,BCT,8260B1523602,662681,710142
90,Monasterevin,Monasterevin,E0826017,2,Dublin Road,BCT,8260B1523601,662923,710190
91,Newbridge- Tesco,Newbridge,E0826001,1,Morefield Road,BCT,826000020,679811,714403
91,Newbridge- Tesco,Newbridge,E0826001,2,Morefield Road,BCT,826000021,679819,714391
92,Main Street Newbridge,Newbridge,E0826001,1,Tesco,BCT,8260B1552704,680375,715144
92,Main Street Newbridge,Newbridge,E0826001,2,Bord Na Mona,BCT,8260B1552701,680386,715139
93,Dublin Road (Malahide Road),Swords,E0824015,->S1,Stop No. 3691,BCT,8240DB003691,718127,746675
93,Dublin Road (Malahide Road),Swords,E0824015,1,,BCT,825000346,718103,746572
